,Location,lon,lat
4," San Jose, California",-121.8863286,37.3382082
5," Sunnyvale, California",-122.0363496,37.36883
9," Santa Clara, California",-121.9552356,37.3541079
16," Irvine, California",-117.7946942,33.6839473
19," San Jose, California",-121.8863286,37.3382082
29," Thousand Oaks, California",-118.8375937,34.1705609
37," Cupertino, California",-122.0321823,37.3229978
38," Santa Clara, California",-121.9552356,37.3541079
42," San Rafael, California",-122.5310874,37.9735346
47," Pasadena, California",-118.1445155,34.1477849
68," Irvine, California",-117.7946942,33.6839473
78," San Diego, California",-117.1610838,32.715738
82," Los Angeles, California",-118.2436849,34.0522342
89," San Francisco, California",-122.4194155,37.7749295
91," San Ramon, California",-121.9780153,37.7799273
97," San Jose, California",-121.8863286,37.3382082
101," Oakland, California",-122.2711137,37.8043637
138," El Segundo, California",-118.4164652,33.9191799
152," San Jose, California",-121.8863286,37.3382082
154," Rosemead, California",-118.072846,34.0805651
155," Irvine, California",-117.7946942,33.6839473
186," San Mateo, California",-122.3255254,37.5629917
196," Foster City, California",-122.2710788,37.5585465
200," Mountain View, California",-122.0838511,37.3860517
207," Long Beach, California",-118.1937395,33.7700504
212," Palo Alto, California",-122.1430195,37.4418834
224," Santa Clara, California",-121.9552356,37.3541079
231," Mountain View, California",-122.0838511,37.3860517
232," Sunnyvale, California",-122.0363496,37.36883
238," Pasadena, California",-118.1445155,34.1477849
240," Milpitas, California",-121.8995741,37.4323341
249," Milpitas, California",-121.8995741,37.4323341
262," Milpitas, California",-121.8995741,37.4323341
267," Milpitas, California",-121.8995741,37.4323341
276," El Segundo, California",-118.4164652,33.9191799
280," San Francisco, California",-122.4194155,37.7749295
305," Sunnyvale, California",-122.0363496,37.36883
306," Los Gatos, California",-121.9623751,37.2358078
320," Los Angeles, California",-118.2436849,34.0522342
321," San Jose, California",-121.8863286,37.3382082
324," Santa Clara, California",-121.9552356,37.3541079
327," Los Angeles, California",-118.2436849,34.0522342
330," Redwood Shores, California",-122.2455364,37.5364134
343," San Francisco, California",-122.4194155,37.7749295
363," Glendale, California",-118.255075,34.1425078
366," San Diego, California",-117.1610838,32.715738
377," Menlo Park, California",-122.1817252,37.4529598
381," Pleasanton, California",-121.8746789,37.6624312
384," Pleasanton, California",-121.8746789,37.6624312
386," Milpitas, California",-121.8995741,37.4323341
393," San Diego, California",-117.1610838,32.715738
414," Mountain View, California",-122.0838511,37.3860517
448," Palo Alto, California",-122.1430195,37.4418834
453," San Francisco, California",-122.4194155,37.7749295
459," Burbank, California",-118.3089661,34.1808392
463," Corona, California",-117.5664384,33.8752935
465," San Francisco, California",-122.4194155,37.7749295
466," Irvine, California",-117.7946942,33.6839473
477," San Jose, California",-121.8863286,37.3382082
479," Sunnyvale, California",-122.0363496,37.36883
