,Location,Name
0,Glendale,The Americana at Brand
1,Palmdale,Antelope Valley Mall
2,Sacramento,Arden Fair
3,Los Angeles,Baldwin Hills Crenshaw Plaza
4,Barstow,Barstow Mall
5,Emeryville,Bay Street Emeryville
6,San Leandro,Bayfair Center
7,Eureka,Bayshore Mall
8,Los Angeles,Beverly Center
9,Brea,Brea Mall
10,Walnut Creek,Broadway Plaza
11,Buena Park,Buena Park Downtown
12,Burbank,Burbank Town Center
13,Capitola,Capitola Mall
14,Cupertino,Cupertino Square
15,Torrance,Del Amo Fashion Center
16,Monterey,Del Monte Center
17,San Jose,Eastridge Center
18,El Cerrito,El Cerrito Plaza
19,Palm Desert,El Paseo Gardens
20,Fresno,Fashion Fair
21,Newport Beach,Fashion Island
22,San Diego,Fashion Valley
23,Riverside,Galleria at Tyler
24,Glendale,Glendale Galleria
25,Milpitas,Great Mall of the Bay Area
26,La Mesa,Grossmont Center
27,Los Angeles,The Grove at Farmers Market
28,San Mateo,Hillsdale Shopping Center
29,Richmond,Hilltop Mall
30,Los Angeles,Hollywood and Highland
31,Imperial Valley,Imperial Valley Mall
32,San Bernardino,Inland Center
33,Irvine,Irvine Spectrum Center
34,Laguna Hills,Laguna Hills Mall
35,Lakewood,Lakewood Center
36,Cerritos,Los Cerritos Center
37,Richmond,Macdonald 80 Shopping Center
38,Santa Ana,MainPlace Mall
39,Malibu,Malibu Country Mart
40,San Rafael,The Mall at Northgate
41,Victorville,The Mall of Victor Valley
42,San Francisco,Metreon
43,San Bernardino,MetroCentre Mall
44,Moreno Valley,Moreno Valley Mall
45,Northridge,Northridge Fashion Center
46,Salinas,Northridge Mall
47,Thousand Oaks,The Oaks Shopping Center
48,Ontario,Ontario Mills
49,Chula Vista,Otay Ranch Town Center
50,Richmond,Pacific East Mall
51,Ventura,Pacific View Mall
52,El Cajon,Parkway Plaza
53,Pasadena,Paseo Colorado
54,West Covina,Plaza West Covina
55,Temecula,The Promenade In Temecula
56,Campbell,Pruneyard Shopping Center
57,Industry,Puente Hills Mall
58,Santa Maria,Santa Maria Town Center
59,Santa Monica,Santa Monica Place
60,Santa Rosa,Santa Rosa Plaza
61,San Jose,Santana Row
62,Daly City,Serramonte Center
63,Sherman Oaks,Sherman Oaks Galleria
64,Stockton,Sherwood Mall
65,Carlsbad,The Shoppes at Carlsbad
66,Mission Viejo,The Shops at Mission Viejo
67,Montebello,The Shops at Montebello
68,San Bruno,The Shops at Tanforan
69,Fairfield,Solano Town Center
70,Antioch,Somersville Towne Center
71,Redondo Beach,South Bay Galleria
72,Costa Mesa,South Coast Plaza
73,Hayward,Southland Mall
74,Palo Alto,Stanford Shopping Center
75,Pleasanton,Stoneridge Shopping Center
76,San Francisco,Stonestown Galleria
77,Downey,Stonewood Center
78,Citrus Heights,Sunrise Mall
79,Concord,Sunvalley Shopping Center
80,Corte Madera,Town Center at Corte Madera
81,Bakersfield,Valley Plaza Mall
82,Rancho Cucamonga,Victoria Gardens
83,Corte Madera,The Village at Corte Madera
84,Modesto,Vintage Faire Mall
85,Visalia,Visalia Mall
86,Stockton,Weberstown Mall
87,Tracy,West Valley Mall
88,Los Angeles,Westfield Century City
89,"Culver City, California",Westfield Culver City
90,Sherman Oaks,Westfield Fashion Square
91,Roseville,Westfield Galleria at Roseville
92,San Diego,Westfield Horton Plaza
93,San Diego,Westfield Mission Valley
94,Escondido,Westfield North County
95,San Jose,Westfield Oakridge
96,Palm Desert,Westfield Palm Desert
97,National City,Westfield Plaza Bonita
98,Woodland Hills,Westfield Promenade
99,San Francisco,Westfield San Francisco Centre
100,Arcadia,Westfield Santa Anita
101,Canoga Park,Westfield Topanga
102,San Diego,Westfield UTC
103,Santa Clarita,Westfield Valencia Town Center
104,San Jose,Westfield Valley Fair
105,San Leandro,Westgate Center
106,San Jose,Westgate Mall
107,Daly City,Westlake Shopping Center
108,Westminster,Westminster Mall
109,West Los Angeles,Westside Pavilion
110,Concord,The Willows Shopping Center
111,Yuba City,Yuba Sutter Mall
